,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
n,Jael,,,"Jael was the wife of Heber the Kenite. They lived in Israel but the Kenites were at peace with the Canaanites. When Sisera the Canaanite army commander fled from the Israelite army, he took refuge in Jael's tent. She welcomed him in as a friend, but then she killed him as he slept. (The name Jael means ""The Lord is God"".)",,,"Yah is often assumed to be a short form of Yahweh, even though other nations myths mention a deity called Yah or Yeh.",GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,jail,"jails, prison, prisons, imprisoned, jailed","place where one is emprisoned (G);
","A jail or prison is a small house or room in which governments lock up criminals or those accused of a crime. Joseph was locked up in a jail in Egypt, Peter in a jail in Jerusalem, and Paul in a jail in Rome.  A person who is locked up in a jail is called a prisoner.  A person who is in authority over a jail or prison is called a jailor.",chain,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,James,,,"There were several men named James in the New Testament:  (1) the apostle James, son of Zebedee, brother to the apostle John, a ""son of thunder"" who was beheaded by Herod Acts 12:1-2. (2) another apostle, James, son of Alphaeus, sometimes referred to as ""little"" or ""younger""; and (3) James, the (half) brother of Jesus. James the (half) brother of Jesus later became a Christian and leader of the church in Jerusalem during the first years. 12:17; 21:18; Gal. 1:19; 2:9, 12 (The Hebrew form of James is Jacob.)",,,GC 08-Mar-2019 mod by CB 2024,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t ,jealous,jealousy,,"To be jealous can mean (1) to feel bad, hurt or angry when someone else succeeds or has something that you want, (2) to envy others, or (3) to desire what someone else has. God feels jealous (hurt or angry) when his people worship other gods. Being jealous for the wrong reasons can lead you to commit sin.",,,The slant (/) has no meaning. Mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,,
n,Jehoiachin,"Jeconiah, Coniah, Jechonias",,"Jehoiachin, also called Coniah and Jeconiah, was a king of Judah. He ruled only three months and ten days beginning when he was 18 years old. While he was king a Babylonian army invaded and capture the City of Jerusalem 598 years before Christ.",,,,"GC 7/7/2019
rev by JB 4/24",,,,,,,,,,,,,,,,,,,,,,,
n,Jehoiada,,,"Jehoiada, the high priest of Jerusalem's temple in the kingdom of Judah, served during the reigns of King Ahaziah, Queen Athaliah, and King Joash. When Joash was a baby, Jehoiada's wife saved him from Queen Athaliah's plot to kill him. Jehoiada helped lead a revolt that resulted in Queen Athaliah's overthrow and death.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Jephthah,,,"Jephthah lived about 1700 years before Jesus during the time of the judges. He was a mighty warrior and became the leader of the Israelite's army, leading it to victory over the Ammonites. He made a rash vow to God and subsequently had to sacrifice his daughter in a burnt offering.",,,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Jeremiah,,,"Jeremiah lived around 600 years before Jesus, before and during the time when Israel was destroyed by Babylon. God sent him to call the Israelites to repent of their disobedience. During 40 years he warned them that the Bablonians would come and capture Jerusalem and take them into captivity for 70 years, but they did not repent. Jeremiah is known as the ""weeping prophet"" and he wrote the book of Lamentations.",,,mod by CB 2024,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Jericho,,,"Jericho was the name of a strong, walled city in Canaan. It was the first city that Joshua and the Israelites came to in Canaan. Two Israelite men were sent to spy in the city. A woman who lived there, named Rahab, helped them escape. Joshua led Isreal to fight against the city, and God caused the walls of Jericho to fall down. With God's miraculous help they defeated it. ",,,Good as is.,,,,,,,,,,,,,,,,,,,,,,,,
n,Jeroboam,,,"After King Solomon died, his kingdom was divided in two. Jeroboam became king over the northern part, which they called Israel. Jeroboam told the people to stop going to Jerusalem to worship God, and he told them to worship by bowing to idols that looked like a bull. He also made himself to be a priest. These actions displeased the Lord. Jeroboam was a wicked king.",,,GC 19-Feb-2019,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Jerusalem,,,"Jerusalem is a city king David captured and made Israel's capital city. (The name Jerusalem means Peace City.)  After David, his son King Solomon built a temple for God at Jerusalem. For 1000 years, Jerusalem city remained the central place of worship for Jews. Another name for Jerusalem is Mount Zion, because it is located on a mountain. Jerusalem has been destroyed and rebuilt several times. ",Zion,, ,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Jesse,,,"Jesse was the father of King David, who was an ancestor of Jesus Christ. In the Old Testament, the prophet Isaiah had written that the Messiah or Christ would be a descendant of Jesse and of David.",,,,rewritten by Jim Boyer 3/24,,,,,,,,,,,,,,,,,,,,,,,
n,Jesus,,"Yeesu in Roman script, Isaa in Arabic script (W);","Jesus is the promised Messiah or Christ. Before he was born, an angel  told Mary and Joseph to name their son Jesus, which means ""God Saves,""  because he would save people from their sins.  Jesus is God come in human flesh, the only Saviour. He worked miracles on earth, he died because of our sins, he rose to life three days later, and he has ascended into heaven. He will return to earth from heaven someday to judge the living and the dead and to continue ruling over the kingdom which he is even now in the process of building. Some other titles which are given to Jesus are: Jesus Christ, Messiah, Son of God, Son of Man, Son of David.",,Arabic ref.,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Jethro,Reuel,,"Jethro was the title of a priest of Midian. His personal name was Reuel (Ex. 4.18). Moses married one of Jethro's daughters named Zipporah. (The name Reuel means ""friend of God"".)",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Jew,"Jews, Jewish, Hebrews",people (a tribe) called Jews; sons of Israel (W);,"The Jews were descendants from Abraham and Jacob (who was also called Israel). They lived in the land called Judah, thus the title Jews. The Jews were known as ""God's people"" because God chose them to be the nation through whom he would make himself known and through whom the Messiah would be born. God chose the people of Israel, the Jews, to be a light to all the nations, to show God to all the world. The ethnic Jews did not do that, however, so God sent Jesus, born as a Jew, to fulfill his purpose to bring light and life to all the nations in the world. Jesus taught that a ""true"" Jew was not an ethnic descendant from Abraham, but rather any person (no matter their biological ethnicity) who trusted and obeyed God like Abraham did.  ","Gentile, Israelite","I would leave this out from notes: Sometimes the term ""Jew"" is used figuratively/generically in the New Testament to refer to believers, Christians, people who truly belong to God. (Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
t,jewel,"jewels, gem, gems, gemstone, gemstones",stone (R); beads (R); stones you pay big money (U);,"Jewels are beautiful stones of different colours that cost a lot of money. They are used in making beautiful jewelry such as necklaces, bracelets and rings. The high priest of Israel wore jewels on his breast plate to symbolize the 12 tribes of Israel. The New Jerusalem is described in the Book of Revelation as having walls made of jewels.",,other language: stones you pay big money,,,,,,,,,,,,,,,,,,,,,,,,,
t,Jewish religious leaders,"religious leader, religious leaders, Jewish religious leader","leaders of Jews who believe in God (G); 
","Jewish religious leaders included priests, rabbis, scribes and teachers whose work was to help others understand and obey God's laws. Many such leaders disbelieved in Jesus and tried to harm the Jews who became Christians.","pharisee, Sadducee",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Joab,,,"Joab was a loyal commander over King David's army for many years. His name means ""my father is God."" As a young man, Joab fought alongside David as one of his mighty men. After defeating the Jebusites and gaining control of Jerusalem, David appointed him as the commander of his army. Joab was an excellent military leader and never lost a battle. He played a key role in establishing Israel as a powerful kingdom. Joab was loyal to King David but in the end David commissioned his son Solomon to have him killed.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Joash,Jehoash,,"Joash was the name of two Israelite kings. A variation of their name was Jehoash.  
1. The first one was king of Judah (the southern kingdom). He became king as a child and was a good, godly king for many years. But as he grew older he did what was wicked. He was king for 40 years until his officers conspired against him and killed him. His son became king in his place and did what was right to God.
2. The other Joash became king of Israel (the northern kingdom) during the last couple years of the other King Joash. He did what was evil to God and ruled only 16 years until he died. ",,,GC 07-Feb-19 mod by Jim Boyer 2024,,,,,,,,,,,,,,,,,,,,,,,,
n,Job,,,"Job was a famous, rich, godly, good man who lived long, long ago. After enemies stole all of his wealth and Satan killed his children, he became very sick. His friends accused him of secret sins, but Job knew he was a good man, so he wanted to ask God why he was suffering. After suffering so much, God restored his health and his wealth, and he had more children.",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,John,,Yowanna (W),"The name John means ""God's Grace"". Men in the Bible named John include (1) the baptizer who warned people to return to God, (2) an apostle of Jesus who was one of three very close to Jesus and who wrote the Gospel, several letters and the Revelation, (3) Barnabas' cousin called John Mark who wrote a Gospel, (4) Simon Peter's father, (5) a relative of Annas, a high priest.",,Arabic ref.,Some believe that (2) and (6) be the same man.," Several people named John are mentioned in the New Testament. The two most important are John the Baptizer and John the Apostle: (1) John the Baptizer was the prophet who prepared the way for Jesus. He was a prophet in the tradition of Elijah, and like Elijah he warned the people to repent and come back to God. See Matthew 3:1–15; 11:2–19; 14:1–12; 17:13; 21:24–32; Mark 1:4–11; 6:14–29; 11:29–33; Luke 1:13–17, 57–63, 76–80; 3:2–20; 7:18–33; 11:1; John 1:6–8, 15, 19–36; 3:22–30. (2) John the Apostle was the son of Zebedee and brother of James. He was one of the twelve apostles of Jesus. He wrote the Gospel of John and the Letters of John, and almost certainly the Book of Revelation. See Matthew 4:21–22; 10:2; 17:1–13; Mark 1:29; 3:17; 5:37; 9:1–13, 38; 10:35–41; 13:3; Luke 8:51; 9:28–36, 49, 54; 22:8; Acts 3:1–11; 4:13, 19–20; 8:14–17; Galatians 2:9; Revelation 1:1, 4, 9; 22:2, 8. (3) John Mark, the cousin of Barnabas and co-worker of Paul, wrote the Gospel of Mark (Acts 12:12; 13:4–13; 15:37–39; Colossians 4:10; 2 Timothy 4:11; Philemon 24; 1 Peter 5:13). (4) John was the name of the father of Simon Peter (Matthew 16:17; John 1:42; 21:15–17). (5) Also there was a member of the family of the High Priest Annas named John (Acts 4:6).",,,,,,,,,,,,,,,,,,,,,,,
n,Jonah,,,"Jonah lived around 800 years before Jesus. He was a prophet. God sent him to preach to the enemies of the Jews in the wicked city of Nineveh. Jonah didn't want to gothere, so he disobeyed God. He was swallowed by a large fish and spit up on shore after 3 days. Then Jonah obeyed God and went to Nineveh. Jesus said that, just like Jonah was 3 days in the fish, he would be dead for 3 days.",,,,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Jonathan,,,"Jonathan was King Saul's son. He and David became very good friends. When Saul and Jonathan died in battle, David became king in their place. (The name Jonathan means Gift from the Lord.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Joppa,,,"Joppa was a city and sea port located on the Mediterranean Sea coast to the northwest of Jerusalem. Timber was cut in Lebanon and floated to the port of Joppa for King Solomon's temple and, later, for the temple re-built by Zerubbabel. Joppa is the city to which Jonah fled after the Lord told him to go to Nineveh. In New Testament times, while the apostle Peter was in Joppa, he raised a woman named Tabitha back to life. ",,,GC 19-Feb-2019,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
